24/04/18 12:47:10 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
 | contact | response 200
25/04/18 00:34:27 AM | error loadView general | view/css | response 400
25/04/18 00:34:27 AM | error loadView general | media | response 400
25/04/18 00:34:39 AM | error loadView general | view/css | response 400
25/04/18 00:34:40 AM | error loadView general | media | response 400
25/04/18 00:34:40 AM | error loadView general | view/css | response 400
25/04/18 00:35:10 AM | error loadView general | view/css | response 400
25/04/18 00:35:10 AM | error loadView general | media | response 400
25/04/18 00:35:10 AM | error loadView general | view/css | response 400
25/04/18 00:37:25 AM | error loadView general | view/css | response 400
25/04/18 00:37:25 AM | error loadView general | view/css | response 400
25/04/18 00:37:25 AM | error loadView general | media | response 400
25/04/18 00:39:25 AM | error loadView general | view/css | response 400
25/04/18 00:39:26 AM | error loadView general | view/css | response 400
25/04/18 00:39:26 AM | error loadView general | media | response 400
25/04/18 00:39:35 AM | error loadView general | view/css | response 400
25/04/18 00:39:35 AM | error loadView general | view/css | response 400
25/04/18 00:39:36 AM | error loadView general | media | response 400
25/04/18 00:47:56 AM | error loadView general | view/css | response 400
25/04/18 00:47:57 AM | error loadView general | view/css | response 400
25/04/18 00:47:57 AM | error loadView general | media | response 400
25/04/18 00:48:20 AM | error loadView general | view/css | response 400
25/04/18 00:48:21 AM | error loadView general | view/css | response 400
25/04/18 00:48:21 AM | error loadView general | media | response 400
25/04/18 00:48:57 AM | error loadView general | view/css | response 400
25/04/18 00:48:58 AM | error loadView general | view/css | response 400
25/04/18 00:48:58 AM | error loadView general | media | response 400
25/04/18 00:49:52 AM | error loadView general | view/css | response 400
25/04/18 00:49:53 AM | error loadView general | view/css | response 400
25/04/18 00:49:53 AM | error loadView general | media | response 400
25/04/18 00:51:12 AM | error loadView general | view/css | response 400
25/04/18 00:51:12 AM | error loadView general | view/css | response 400
25/04/18 00:51:12 AM | error loadView general | media | response 400
25/04/18 00:51:49 AM | error loadView general | view/css | response 400
25/04/18 00:51:49 AM | error loadView general | media | response 400
25/04/18 00:51:49 AM | error loadView general | view/css | response 400
25/04/18 00:53:16 AM | error loadView general | view/css | response 400
25/04/18 00:53:17 AM | error loadView general | media | response 400
25/04/18 00:53:17 AM | error loadView general | view/css | response 400
25/04/18 00:53:54 AM | error loadView general | view/css | response 400
25/04/18 00:53:54 AM | error loadView general | media | response 400
25/04/18 00:53:54 AM | error loadView general | view/css | response 400
25/04/18 00:54:19 AM | error loadView general | view/css | response 400
25/04/18 00:54:20 AM | error loadView general | view/css | response 400
25/04/18 00:54:20 AM | error loadView general | media | response 400
25/04/18 00:55:15 AM | error loadView general | view/css | response 400
25/04/18 00:55:15 AM | error loadView general | media | response 400
25/04/18 00:55:15 AM | error loadView general | view/css | response 400
25/04/18 00:55:47 AM | error loadView general | view/css | response 400
25/04/18 00:55:48 AM | error loadView general | view/css | response 400
25/04/18 00:55:48 AM | error loadView general | media | response 400
25/04/18 00:56:10 AM | error loadView general | view/css | response 400
25/04/18 00:56:10 AM | error loadView general | view/css | response 400
25/04/18 00:56:10 AM | error loadView general | media | response 400
25/04/18 00:57:56 AM | error loadView general | view/css | response 400
25/04/18 00:57:56 AM | error loadView general | media | response 400
25/04/18 00:57:56 AM | error loadView general | view/css | response 400
25/04/18 00:58:06 AM | error loadView general | view/css | response 400
25/04/18 00:58:07 AM | error loadView general | media | response 400
25/04/18 00:58:37 AM | error loadView general | view/css | response 400
25/04/18 00:58:37 AM | error loadView general | view/css | response 400
25/04/18 00:58:37 AM | error loadView general | media | response 400
25/04/18 00:58:53 AM | error loadView general | view/css | response 400
25/04/18 00:58:53 AM | error loadView general | media | response 400
25/04/18 00:59:25 AM | error loadView general | view/css | response 400
25/04/18 00:59:26 AM | error loadView general | media | response 400
25/04/18 00:59:26 AM | error loadView general | view/css | response 400
25/04/18 00:59:38 AM | error loadView general | view/css | response 400
25/04/18 00:59:39 AM | error loadView general | view/css | response 400
25/04/18 00:59:39 AM | error loadView general | media | response 400
25/04/18 00:59:58 AM | error loadView general | view/css | response 400
25/04/18 00:59:58 AM | error loadView general | media | response 400
25/04/18 00:59:58 AM | error loadView general | view/css | response 400
25/04/18 01:00:47 AM | error loadView general | view/css | response 400
25/04/18 01:00:48 AM | error loadView general | media | response 400
25/04/18 01:00:48 AM | error loadView general | view/css | response 400
25/04/18 01:01:15 AM | error loadView general | view/css | response 400
25/04/18 01:01:15 AM | error loadView general | media | response 400
25/04/18 01:01:15 AM | error loadView general | view/css | response 400
25/04/18 01:26:23 AM | error loadView general | view/css | response 400
25/04/18 01:26:24 AM | error loadView general | view/css | response 400
25/04/18 01:26:24 AM | error loadView general | media | response 400
25/04/18 01:26:51 AM | error loadView general | view/css | response 400
25/04/18 01:26:51 AM | error loadView general | media | response 400
25/04/18 01:26:57 AM | error loadView general | view/css | response 400
25/04/18 01:27:05 AM | error loadView general | view/css | response 400
25/04/18 01:27:05 AM | error loadView general | media | response 400
25/04/18 01:27:09 AM | error loadView general | view/css | response 400
25/04/18 01:27:09 AM | error loadView general | courses | response 400
25/04/18 01:27:12 AM | error loadView general | view/css | response 400
25/04/18 01:27:12 AM | error loadView general | media | response 400
25/04/18 01:27:18 AM | error loadView general | view/css | response 400
25/04/18 01:27:19 AM | error loadView general | media | response 400
25/04/18 01:27:25 AM | error loadView general | view/css | response 400
25/04/18 01:27:25 AM | error loadView general | media | response 400
25/04/18 01:27:59 AM | error loadView general | view/css | response 400
25/04/18 01:28:00 AM | error loadView general | media | response 400
25/04/18 01:33:57 AM | error loadView general | view/css | response 400
25/04/18 01:33:58 AM | error loadView general | view/css | response 400
25/04/18 01:33:58 AM | error loadView general | media | response 400
25/04/18 01:35:35 AM | error loadView general | view/css | response 400
25/04/18 01:35:36 AM | error loadView general | view/css | response 400
25/04/18 01:35:36 AM | error loadView general | media | response 400
25/04/18 01:35:39 AM | error loadView general | module/profile | response 400
25/04/18 01:35:42 AM | error loadView general | view/css | response 400
25/04/18 01:35:43 AM | error loadView general | media | response 400
25/04/18 01:35:58 AM | error loadView general | module/profile | response 400
25/04/18 01:37:34 AM | error loadView general | view/css | response 400
25/04/18 01:37:35 AM | error loadView general | media | response 400
25/04/18 01:43:34 AM | error loadView general | view/css | response 400
25/04/18 01:43:34 AM | error loadView general | view/css | response 400
25/04/18 01:43:34 AM | error loadView general | media | response 400
25/04/18 01:51:05 AM | error loadView general | view/css | response 400
25/04/18 01:51:06 AM | error loadView general | courses/list_courses/view/dropzone | response 400
25/04/18 01:51:06 AM | error loadView general | media | response 400
25/04/18 01:52:15 AM | error loadView general | view/css | response 400
25/04/18 01:52:15 AM | error loadView general | view/css | response 400
25/04/18 01:52:16 AM | error loadView general | courses/list_courses/view/dropzone | response 400
25/04/18 01:52:16 AM | error loadView general | media | response 400
25/04/18 01:52:29 AM | error loadView general | view/css | response 400
25/04/18 01:52:29 AM | error loadView general | media | response 400
25/04/18 01:52:30 AM | error loadView general | view/css | response 400
25/04/18 01:52:30 AM | error loadView general | media | response 400
25/04/18 01:52:31 AM | error loadView general | view/css | response 400
25/04/18 01:52:31 AM | error loadView general | media | response 400
25/04/18 01:52:32 AM | error loadView general | view/css | response 400
25/04/18 01:52:32 AM | error loadView general | media | response 400
25/04/18 01:52:32 AM | error loadView general | view/css | response 400
25/04/18 01:52:33 AM | error loadView general | media | response 400
25/04/18 01:52:34 AM | error loadView general | view/css | response 400
25/04/18 01:52:34 AM | error loadView general | media | response 400
25/04/18 01:52:35 AM | error loadView general | view/css | response 400
25/04/18 01:52:35 AM | error loadView general | media | response 400
25/04/18 01:52:36 AM | error loadView general | view/css | response 400
25/04/18 01:52:36 AM | error loadView general | media | response 400
25/04/18 01:52:37 AM | error loadView general | view/css | response 400
25/04/18 01:52:38 AM | error loadView general | media | response 400
25/04/18 01:52:38 AM | error loadView general | view/css | response 400
25/04/18 01:52:38 AM | error loadView general | media | response 400
25/04/18 01:52:39 AM | error loadView general | view/css | response 400
25/04/18 01:52:39 AM | error loadView general | media | response 400
25/04/18 01:52:40 AM | error loadView general | view/css | response 400
25/04/18 01:52:40 AM | error loadView general | media | response 400
25/04/18 01:52:41 AM | error loadView general | view/css | response 400
