ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
error loadView general | 25.04.2018 00:31:33  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:31:34  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:31:34  |  User:   | media | response 400
error loadView general | 25.04.2018 00:32:21  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:32:21  |  User:   | media | response 400
error loadView general | 25.04.2018 00:33:07  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:33:07  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:33:07  |  User:   | media | response 400
error loadView general | 25.04.2018 00:33:36  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:33:37  |  User:   | media | response 400
error loadView general | 25.04.2018 00:33:37  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:33:56  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:33:56  |  User:   | media | response 400
error loadView general | 25.04.2018 00:33:56  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:34:26  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:34:27  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:34:27  |  User:   | media | response 400
error loadView general | 25.04.2018 00:34:39  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:34:40  |  User:   | media | response 400
error loadView general | 25.04.2018 00:34:40  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:35:10  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:35:10  |  User:   | media | response 400
error loadView general | 25.04.2018 00:35:10  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:37:25  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:37:25  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:37:25  |  User:   | media | response 400
error loadView general | 25.04.2018 00:39:25  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:39:26  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:39:26  |  User:   | media | response 400
error loadView general | 25.04.2018 00:39:35  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:39:36  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:39:36  |  User:   | media | response 400
error loadView general | 25.04.2018 00:47:56  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:47:57  |  User:   | view/css | response 400
